Methods	0.05	0.075	0.1	0.125	0.15	0.175	0.2	0.225	0.25	0.275
MTCSC_Uni	0.6665	0.6642	0.6631	0.6634	0.6602	0.6575	0.6557	0.6531	0.648	0.6439
SCREEN	0.3031	0.3098	0.3154	0.3221	0.3268	0.3334	0.3388	0.3442	0.3497	0.3566
SpeedAcc	0.3018	0.3085	0.3139	0.3206	0.3251	0.3317	0.3371	0.3425	0.3479	0.3546
EWMA	0.3235	0.4137	0.48	0.5318	0.5727	0.6054	0.6332	0.6558	0.6748	0.6922
LsGreedy	0.9391	0.8864	0.828	0.7724	0.7276	0.6884	0.6531	0.6176	0.5558	0.4403
B-Soft	0.9962	0.9961	0.996	0.9959	0.9958	0.9955	0.9953	0.9951	0.9947	0.994
S-Multi-Soft	0.6619	0.6601	0.6569	0.6572	0.6541	0.6522	0.6509	0.6492	0.647	0.645
P-Single-Soft	0.6742	0.6733	0.6725	0.6742	0.6725	0.6711	0.6701	0.6686	0.6652	0.6625
C-Soft	0.9884	0.9874	0.9871	0.9856	0.9842	0.9817	0.9813	0.9806	0.979	0.9767
