Methods	0.05	0.075	0.1	0.125	0.15	0.175	0.2	0.225	0.25	0.275
MTCSC_Uni	0.1464	0.2217	0.2971	0.3728	0.452	0.5326	0.6134	0.6964	0.7857	0.8766
SCREEN	0.297	0.4417	0.5836	0.7236	0.8601	0.9936	1.1262	1.2555	1.3805	1.5044
SpeedAcc	0.2978	0.443	0.5857	0.7265	0.8638	0.9984	1.132	1.2621	1.3887	1.514
EWMA	1.1157	1.134	1.1533	1.1717	1.1898	1.2108	1.229	1.2493	1.2716	1.2902
LsGreedy	0.0338	0.0897	0.1717	0.2715	0.3761	0.4874	0.6046	0.7304	0.9013	1.1548
B-Soft	0.0022	0.0034	0.0046	0.0059	0.0074	0.0091	0.0109	0.0129	0.0155	0.0194
S-Multi-Soft	0.1488	0.2252	0.3038	0.3816	0.4632	0.5449	0.6275	0.7113	0.7969	0.8852
P-Single-Soft	0.1433	0.2161	0.2893	0.3615	0.4362	0.512	0.5879	0.6654	0.7468	0.8296
C-Soft	0.0067	0.011	0.0149	0.0209	0.0276	0.0372	0.0437	0.0507	0.0611	0.0746
