Methods	0.05	0.075	0.1	0.125	0.15	0.175	0.2	0.225	0.25	0.275
MTCSC_Uni	0.8874	1.0945	1.2678	1.4214	1.5713	1.7144	1.8428	1.9745	2.1181	2.2592
SCREEN	1.5534	1.8948	2.1775	2.4276	2.6452	2.8426	3.0295	3.1986	3.3527	3.5003
SpeedAcc	1.5588	1.9021	2.1881	2.4397	2.66	2.8604	3.0491	3.2195	3.3773	3.5278
EWMA	2.2882	2.2992	2.3159	2.3256	2.3401	2.3614	2.3744	2.3907	2.4185	2.4338
LsGreedy	0.2128	0.478	0.7856	1.0997	1.3915	1.6763	1.9551	2.2557	2.7725	3.3021
B-Soft	0.0236	0.0312	0.0368	0.0451	0.0575	0.0735	0.0911	0.107	0.1339	0.1783
S-Multi-Soft	0.8973	1.1045	1.2874	1.4433	1.5965	1.7366	1.8675	1.9927	2.1165	2.2397
P-Single-Soft	0.871	1.0702	1.238	1.382	1.5197	1.6511	1.7712	1.8898	2.0151	2.1359
C-Soft	0.1172	0.1501	0.1687	0.2082	0.2463	0.303	0.3289	0.3513	0.4019	0.4623
