Methods	0.05	0.075	0.1	0.125	0.15	0.175	0.2	0.225	0.25	0.275
MTCSC_Uni	5.6231	5.7563	5.8662	5.9044	5.9454	6.0593	6.071	6.2661	6.3626	6.4538
SCREEN	8.2573	8.227	8.2097	8.2103	8.1696	8.2156	8.1031	8.2516	8.3675	8.4444
SpeedAcc	64.1026	63.4515	63.7839	63.6911	63.4868	63.7109	63.7821	64.197	64.5665	68.0633
EWMA	0.5656	0.5764	0.5726	0.5761	0.5734	0.5761	0.5834	0.5821	0.5828	0.5824
LsGreedy	131.5742	186.2671	237.1874	282.3049	327.4003	367.0978	377.9131	250.8055	83.3858	34.361
B-Soft	0.5377	0.5683	0.6027	0.5867	0.572	0.6214	0.6189	0.6283	0.6202	0.6234
S-Multi-Soft	4.3992	4.408	4.4395	4.523	4.6279	4.6292	4.7654	4.8345	4.9583	5.0491
P-Single-Soft	46.3224	47.3409	46.7593	46.4751	46.5355	46.2577	46.3766	47.2313	47.3022	48.3091
C-Soft	3.6899	3.7704	3.7658	3.8128	3.9121	3.9505	3.9701	4.1474	4.1836	4.3372
