Methods	0.05	0.075	0.1	0.125	0.15	0.175	0.2	0.225	0.25	0.275
MTCSC_Uni	0.9046	0.902	0.8964	0.8943	0.8877	0.8816	0.8782	0.8714	0.8644	0.8592
SCREEN	0.4952	0.5038	0.5089	0.5206	0.5268	0.5356	0.5434	0.5509	0.559	0.5659
SpeedAcc	0.2506	0.2733	0.2963	0.3193	0.34	0.3626	0.3824	0.403	0.4233	0.4409
EWMA	0.1434	0.2012	0.2513	0.2959	0.3339	0.3691	0.4005	0.4281	0.4538	0.4774
LsGreedy	0.8175	0.7245	0.6528	0.5948	0.5475	0.5095	0.4777	0.4492	0.425	0.4048
B-Hard	0.9228	0.9216	0.9163	0.9128	0.9085	0.9027	0.8974	0.8914	0.8849	0.8785
B-Soft	0.9276	0.9262	0.9238	0.9214	0.9173	0.9133	0.9083	0.904	0.8989	0.8941
S-Hard	0.8965	0.8954	0.895	0.8898	0.8862	0.8808	0.8765	0.872	0.864	0.8598
S-Soft	0.8947	0.8935	0.8944	0.8894	0.8867	0.8824	0.8789	0.8747	0.8689	0.8646
P-Hard	0.9214	0.9204	0.9164	0.9122	0.9059	0.9007	0.8958	0.8893	0.8818	0.876
P-Soft	0.9247	0.9228	0.9204	0.9156	0.9125	0.9081	0.9028	0.8977	0.893	0.8879
