Methods	0.05	0.075	0.1	0.125	0.15	0.175	0.2	0.225	0.25	0.275
MTCSC_Uni	51.3451	79.4804	111.8661	142.9397	182.6134	224.6261	264.4728	314.2798	368.6012	420.6539
SCREEN	317.0033	466.6304	611.3817	739.1488	868.4779	986.934	1103.7399	1211.4236	1310.0324	1409.8998
SpeedAcc	808.066	1124.089	1380.4985	1599.6761	1785.3882	1930.9828	2068.7267	2169.0735	2250.231	2332.1779
EWMA	2654.2938	2657.8082	2659.3174	2661.9291	2667.4886	2669.5517	2674.4311	2679.0581	2682.1466	2684.5771
LsGreedy	85.2271	179.5908	285.2076	399.3061	517.5673	637.0824	760.5071	885.2295	1010.2286	1134.6088
B-Hard	41.2121	62.9971	89.394	116.4492	146.421	181.3417	218.8086	260.2256	305.9712	354.8863
B-Soft	38.7677	59.451	81.558	105.2938	132.7068	162.0915	196.0805	230.8993	269.49	310.3588
S-Hard	56.3281	85.6685	114.3044	150.1584	186.0363	227.1402	269.587	313.996	370.7081	420.3278
S-Soft	57.3702	87.2637	114.9046	150.7459	185.2999	224.2325	264.3437	307.63	357.3387	406.0071
P-Hard	41.9477	63.9647	89.2585	117.2853	150.5676	185.1245	222.1944	265.1737	314.0685	361.9897
P-Soft	40.3098	62.1476	85.2543	112.9474	140.4386	171.7253	207.8445	245.7546	285.1413	328.1855
