Methods	0.05	0.075	0.1	0.125	0.15	0.175	0.2	0.225	0.25	0.275
MTCSC_Uni	323.6494	410.6149	500.3169	571.0724	662.2921	749.6631	820.6331	917.5501	1015.6292	1097.8254
SCREEN	1064.7229	1295.7598	1491.1185	1642.0772	1786.8346	1907.6767	2024.5112	2128.3777	2217.6781	2308.2184
SpeedAcc	1692.0969	2004.2139	2234.0735	2414.2681	2562.3828	2674.2412	2784.7947	2861.0381	2924.0672	2990.1899
EWMA	3334.3948	3337.7229	3339.7199	3342.5159	3348.7922	3351.8404	3355.9125	3361.4736	3364.8717	3369.0175
LsGreedy	408.9517	711.0038	987.3334	1248.6037	1488.8332	1707.7229	1917.8308	2116.272	2302.1621	2474.6043
B-Hard	269.8998	342.6389	421.2761	494.7438	569.4435	646.427	731.2159	819.7112	909.0579	998.2132
B-Soft	256.8662	325.6142	385.7138	447.2115	515.97	580.4114	657.6116	731.6973	802.1359	883.3773
S-Hard	322.7521	408.3371	479.0074	566.2098	645.9371	734.8734	814.2707	897.1193	1003.7542	1082.0801
S-Soft	325.8115	411.6474	474.5065	559.013	631.3157	709.2882	783.0597	860.0587	944.1026	1024.7759
P-Hard	277.5052	350.265	425.0248	499.9201	587.6137	665.8528	746.9019	836.0572	936.7311	1020.8071
P-Soft	268.1774	342.6098	407.8797	485.6137	551.2878	620.101	703.6091	783.4688	856.4792	934.9918
