Methods	0.05	0.075	0.1	0.125	0.15	0.175	0.2	0.225	0.25	0.275
MTCSC_Uni	0.6467	0.7005	0.7139	0.7386	0.782	0.812	0.845	0.8683	0.9052	0.921
SCREEN	0.9276	0.9373	0.919	0.9092	0.9034	0.9102	0.902	0.8883	0.8994	0.8754
SpeedAcc	7.1068	7.0779	7.0238	6.9578	6.9807	6.9398	6.9516	6.8859	6.9262	6.8815
EWMA	0.055	0.0536	0.054	0.0534	0.0543	0.0537	0.0536	0.053	0.0538	0.0528
LsGreedy	9.4647	14.4033	18.4287	21.666	24.2898	26.2043	26.1266	22.6786	14.7537	8.5177
B-Hard	0.2614	0.2633	0.2595	0.278	0.277	0.2894	0.293	0.2774	0.2846	0.2779
B-Soft	0.3371	0.3299	0.3356	0.343	0.3386	0.3494	0.3573	0.3586	0.3511	0.3566
S-Hard	0.9507	0.9537	0.967	0.9816	0.9784	1.0004	1.0229	1.0239	1.034	1.0425
S-Soft	2.0834	1.9862	2.0061	2.0214	2.0521	2.0586	2.1185	2.1084	2.1284	2.1379
P-Hard	3.7893	3.7954	3.7747	3.7734	3.7861	3.7789	3.844	3.8147	3.8025	3.7811
P-Soft	4.8524	4.8544	4.8384	4.8625	4.8648	4.8343	4.8944	4.8253	4.9066	4.8349
