Methods	0.05	0.075	0.1	0.125	0.15	0.175	0.2	0.225	0.25	0.275
MTCSC_Uni	0.6638	0.7314	0.7526	0.7734	0.7798	0.7847	0.7902	0.7895	0.7852	0.7997
SCREEN	0.4094	0.4507	0.4679	0.4812	0.5005	0.5094	0.5206	0.5241	0.5277	0.5438
SpeedAcc	0.397	0.4328	0.4552	0.4687	0.489	0.4963	0.5075	0.5147	0.5164	0.5325
EWMA	0.185	0.2487	0.3107	0.3607	0.3979	0.4323	0.4607	0.4916	0.5217	0.5413
LsGreedy	0.6331	0.6605	0.6563	0.6452	0.6251	0.567	0.5365	0.4847	0.4271	0.3856
B-Hard	0.6825	0.7449	0.7655	0.7723	0.7913	0.7764	0.7774	0.7884	0.7687	0.7854
B-Soft	0.7115	0.7462	0.775	0.7808	0.8053	0.8077	0.8075	0.8085	0.8081	0.8072
S-Hard	0.663	0.7046	0.7351	0.767	0.7736	0.775	0.7771	0.7788	0.7776	0.7937
S-Soft	0.6605	0.7048	0.7342	0.7668	0.7789	0.7839	0.7824	0.7861	0.801	0.8113
P-Hard	0.6985	0.7367	0.7588	0.7783	0.7913	0.7826	0.7738	0.7828	0.781	0.7818
P-Soft	0.7089	0.7628	0.7765	0.7973	0.8086	0.8107	0.8182	0.8202	0.82	0.8198
