Methods	0.05	0.075	0.1	0.125	0.15	0.175	0.2	0.225	0.25	0.275
MTCSC_Uni	0.1273	0.1428	0.1705	0.1896	0.2161	0.2422	0.2647	0.2976	0.3371	0.3501
SCREEN	0.2315	0.3058	0.3877	0.4606	0.5116	0.5798	0.6292	0.7039	0.7663	0.817
SpeedAcc	0.2389	0.3188	0.3987	0.4743	0.5303	0.599	0.6515	0.7234	0.7917	0.8443
EWMA	1.1995	1.2157	1.2001	1.2015	1.2099	1.2109	1.2249	1.2225	1.2176	1.2314
LsGreedy	0.1042	0.1386	0.1802	0.224	0.2684	0.348	0.4102	0.4909	0.5839	0.6697
B-Hard	0.1134	0.1315	0.1569	0.1851	0.1999	0.2451	0.2755	0.2941	0.3548	0.3662
B-Soft	0.1048	0.1317	0.1508	0.1783	0.1872	0.2134	0.2389	0.2674	0.297	0.33
S-Hard	0.1302	0.1602	0.1836	0.197	0.2244	0.2548	0.2848	0.3151	0.3516	0.3582
S-Soft	0.1335	0.1617	0.1854	0.1981	0.219	0.2453	0.2777	0.3059	0.3142	0.329
P-Hard	0.1095	0.1358	0.1617	0.1804	0.2001	0.2389	0.28	0.3026	0.3369	0.3714
P-Soft	0.1061	0.1237	0.1504	0.1663	0.1844	0.2099	0.2265	0.2515	0.2785	0.3087
