Methods	0.05	0.075	0.1	0.125	0.15	0.175	0.2	0.225	0.25	0.275
MTCSC_Uni	0.6124	0.6288	0.672	0.7058	0.7311	0.758	0.808	0.8248	0.8928	0.8871
SCREEN	0.7545	0.8687	0.9854	1.0757	1.1208	1.1986	1.244	1.312	1.3729	1.4293
SpeedAcc	0.7641	0.8915	0.9973	1.0856	1.1425	1.2214	1.2662	1.3377	1.4095	1.4608
EWMA	1.6099	1.6247	1.6154	1.6131	1.6247	1.6318	1.653	1.6379	1.6301	1.6459
LsGreedy	0.4601	0.5261	0.6164	0.6949	0.7725	0.9369	1.0326	1.1713	1.3417	1.479
B-Hard	0.5818	0.616	0.647	0.6848	0.6961	0.7846	0.8264	0.8497	0.9387	0.9273
B-Soft	0.56	0.6134	0.63	0.6718	0.6719	0.7088	0.7516	0.7842	0.8268	0.8658
S-Hard	0.6431	0.684	0.7155	0.7204	0.7663	0.7974	0.8369	0.8647	0.9273	0.9139
S-Soft	0.657	0.6952	0.7256	0.7346	0.7574	0.7784	0.8261	0.8481	0.8551	0.8555
P-Hard	0.5758	0.6192	0.6585	0.6729	0.6989	0.7747	0.8374	0.8584	0.8966	0.9471
P-Soft	0.5666	0.5977	0.6452	0.6574	0.6767	0.7131	0.7241	0.7636	0.8004	0.841
