Methods	0.05	0.075	0.1	0.125	0.15	0.175	0.2	0.225	0.25	0.275
MTCSC_Uni	0.0097	0.0099	0.0105	0.0109	0.0112	0.0114	0.0121	0.0128	0.0129	0.0131
SCREEN	0.0136	0.0136	0.0141	0.0136	0.0137	0.0129	0.0135	0.013	0.013	0.0128
SpeedAcc	0.0976	0.1003	0.1006	0.0995	0.1005	0.1014	0.1008	0.1009	0.0976	0.0965
EWMA	0.0008	0.0007	0.0008	0.0009	0.0008	0.0009	0.001	0.0004	0.0008	0.0009
LsGreedy	0.0065	0.0034	0.0038	0.0043	0.0037	0.0037	0.0032	0.007	0.0028	0.0026
B-Hard	0.0037	0.0037	0.0036	0.0037	0.0042	0.0039	0.0039	0.0036	0.0041	0.0036
B-Soft	0.0041	0.0047	0.0043	0.0048	0.0051	0.0051	0.005	0.0046	0.0044	0.0048
S-Hard	0.0138	0.014	0.0143	0.0147	0.0139	0.015	0.0146	0.0148	0.0158	0.0145
S-Soft	0.1463	0.0303	0.0291	0.0298	0.0307	0.0324	0.0316	0.0317	0.033	0.0303
P-Hard	0.0544	0.0563	0.0554	0.0535	0.0594	0.0552	0.0576	0.0554	0.0547	0.0537
P-Soft	0.0714	0.0702	0.0732	0.0705	0.0733	0.0729	0.0719	0.0715	0.072	0.0719
