Methods	0.05	0.075	0.1	0.125	0.15	0.175	0.2	0.225	0.25	0.275
MTCSC_Uni	0.8362	0.8504	0.8588	0.8611	0.8627	0.8633	0.8626	0.8615	0.86	0.8583
SCREEN	0.4745	0.4885	0.5001	0.509	0.5184	0.5269	0.5342	0.5426	0.5491	0.5569
SpeedAcc	0.4592	0.4734	0.4852	0.4942	0.5034	0.5123	0.5198	0.5282	0.5349	0.5431
EWMA	0.2603	0.3451	0.412	0.4654	0.5097	0.547	0.5792	0.6061	0.6295	0.6507
LsGreedy	0.5166	0.4279	0.3685	0.3245	0.2911	0.2648	0.2431	0.2258	0.211	0.1981
B-Hard	0.8328	0.8446	0.8499	0.8501	0.8496	0.8471	0.8447	0.8411	0.8373	0.8338
B-Soft	0.8383	0.8517	0.8598	0.8618	0.8627	0.8618	0.8603	0.8581	0.8551	0.853
S-Hard	0.828	0.8427	0.8516	0.8544	0.8567	0.8563	0.8559	0.854	0.8529	0.8506
S-Soft	0.8288	0.8447	0.8543	0.8584	0.8613	0.8632	0.8637	0.8641	0.8642	0.8634
P-Hard	0.8331	0.8449	0.8503	0.8511	0.8506	0.8479	0.8454	0.842	0.8379	0.8342
P-Soft	0.8536	0.8685	0.8763	0.879	0.881	0.8814	0.8808	0.8798	0.8787	0.8764
