Methods	0.05	0.075	0.1	0.125	0.15	0.175	0.2	0.225	0.25	0.275
MTCSC_Uni	6.9676	9.3676	11.6982	14.3042	16.905	19.6064	22.456	25.427	28.5273	31.7542
SCREEN	24.8371	35.5103	45.8736	55.7572	65.1038	74.0907	82.7346	90.8797	98.8907	106.3788
SpeedAcc	25.7721	36.8508	47.6049	57.8793	67.6517	76.9883	85.975	94.56	102.9437	110.7907
EWMA	105.8653	106.211	106.6595	107.219	107.7128	108.2217	108.4791	109.0691	109.6451	110.0604
LsGreedy	14.175	23.4004	33.0011	42.8134	52.7437	62.8101	72.8892	82.9581	93.1139	103.3436
B-Hard	7.086	9.6843	12.3779	15.3399	18.3869	21.7372	25.1444	28.8662	32.7737	36.7659
B-Soft	6.8698	9.2673	11.5911	14.1876	16.839	19.732	22.7122	25.8834	29.316	32.6806
S-Hard	7.38	9.9233	12.3756	15.0728	17.7297	20.7011	23.6485	26.8915	30.0649	33.55
S-Soft	7.3463	9.7978	12.1586	14.6722	17.175	19.7255	22.3788	25.0612	27.7999	30.7268
P-Hard	7.0777	9.6742	12.3465	15.2426	18.2681	21.6356	25.0351	28.7218	32.6776	36.6894
P-Soft	6.2414	8.2482	10.2602	12.4551	14.6471	16.977	19.4355	21.9894	24.6093	27.5198
