Methods	0.05	0.075	0.1	0.125	0.15	0.175	0.2	0.225	0.25	0.275
MTCSC_Uni	55.1984	58.6742	61.7919	65.4193	68.8905	72.519	76.2126	80.0349	83.8276	88.1357
SCREEN	92.0169	107.8229	121.4715	133.237	143.4788	152.8293	161.4463	168.973	176.4305	183.1029
SpeedAcc	93.5357	110.0575	124.1783	136.4087	147.1546	156.8343	165.6936	173.7023	181.4578	188.3751
EWMA	140.9083	141.3031	141.7727	142.3849	142.9454	143.4792	143.8024	144.4433	145.1187	145.6956
LsGreedy	73.3428	98.0823	120.3098	140.4829	158.8497	176.0548	191.9161	206.6931	220.9381	234.5565
B-Hard	55.2872	59.4058	63.5846	68.1261	72.7011	77.7423	82.6601	87.9588	93.4952	99.0805
B-Soft	54.8605	58.4004	61.6884	65.4184	69.0314	73.3575	77.4064	81.8082	86.7544	91.2726
S-Hard	56.5914	60.3567	63.697	67.5138	70.9587	75.1813	79.0332	83.5313	87.555	92.1785
S-Soft	56.4984	59.9776	63.0911	66.3585	69.5035	72.6405	75.8351	78.9748	82.1313	85.6358
P-Hard	55.1636	59.3535	63.4439	67.8646	72.4119	77.6098	82.4955	87.8245	93.5364	99.0721
P-Soft	53.2744	55.9581	58.5101	61.3599	64.1248	67.2703	70.2872	73.5489	76.9582	80.9551
