Methods	0.05	0.075	0.1	0.125	0.15	0.175	0.2	0.225	0.25	0.275
MTCSC_Uni	3.4406	3.516	3.2651	2.8617	2.5275	4.0073	3.2103	5.0197	3.0812	7.2875
SCREEN	4.4889	4.4603	3.9531	3.4379	3.0256	4.2989	3.3894	5.126	3.1433	6.7715
SpeedAcc	33.9824	32.4226	29.0332	27.0423	22.8101	33.4278	29.5349	38.4593	24.0914	56.8156
EWMA	0.2459	0.2681	0.2585	0.2203	0.1767	0.2841	0.2503	0.3439	0.1971	0.5245
LsGreedy	25.6663	40.1132	51.5775	48.304	45.1994	66.7617	51.4605	67.0654	38.8073	63.1556
B-Hard	1.2836	1.1045	1.1704	0.9765	0.8963	1.283	0.993	1.5167	1.0211	2.0699
B-Soft	1.5902	1.5438	1.5158	1.3211	1.1471	1.8099	1.3509	2.0887	1.2709	2.7316
S-Hard	4.7505	4.404	4.545	3.8096	3.2821	5.3434	3.3591	6.7155	3.7627	9.1915
S-Soft	10.2201	9.8663	10.1068	8.1086	6.8796	11.1157	7.0283	14.4826	7.7825	20.7565
P-Hard	19.4773	17.3057	17.9485	13.0945	12.8437	19.3202	16.0742	21.3842	14.1421	30.3133
P-Soft	24.508	22.7475	22.7002	18.3088	16.3845	26.2648	20.2076	25.9793	18.0862	39.9315
