Methods	0.05	0.075	0.1	0.125	0.15	0.175	0.2	0.225	0.25	0.275
MTCSC_Uni	0.9535	0.957	0.9573	0.9585	0.9577	0.9575	0.9561	0.9547	0.9526	0.9516
SCREEN	0.5621	0.5741	0.5841	0.5937	0.6019	0.6099	0.6201	0.6288	0.6368	0.6453
SpeedAcc	0.5506	0.5608	0.5696	0.5777	0.5863	0.5935	0.604	0.6127	0.6204	0.6288
EWMA	0.3489	0.4398	0.5095	0.5627	0.6031	0.6363	0.665	0.688	0.7111	0.7249
LsGreedy	0.9239	0.9273	0.9035	0.8727	0.8397	0.8076	0.7796	0.7539	0.6807	0.5731
B-Hard	0.9536	0.9545	0.9544	0.9528	0.9515	0.9491	0.9481	0.9442	0.942	0.9391
B-Soft	0.9568	0.9584	0.9591	0.9596	0.9587	0.9578	0.9563	0.9546	0.9516	0.9498
S-Hard	0.9464	0.9499	0.9532	0.9546	0.9538	0.9531	0.9527	0.9517	0.9499	0.9474
S-Soft	0.9444	0.9492	0.9524	0.9548	0.9553	0.9559	0.9557	0.9558	0.9551	0.9551
P-Hard	0.954	0.955	0.9548	0.9533	0.9515	0.9484	0.9468	0.9439	0.9421	0.9392
P-Soft	0.9577	0.9595	0.9611	0.9621	0.9612	0.9615	0.961	0.9597	0.9577	0.9569
