Methods	0.05	0.075	0.1	0.125	0.15	0.175	0.2	0.225	0.25	0.275
MTCSC_Uni	0.0409	0.0559	0.074	0.0905	0.1104	0.1295	0.153	0.1773	0.2066	0.2329
SCREEN	0.4867	0.6892	0.8843	1.0767	1.2511	1.4081	1.5523	1.6888	1.8205	1.937
SpeedAcc	0.5021	0.7151	0.923	1.1301	1.3149	1.4876	1.6423	1.7897	1.9364	2.0666
EWMA	1.5275	1.5432	1.5556	1.5805	1.601	1.6202	1.6332	1.6499	1.6494	1.6934
LsGreedy	0.0677	0.0917	0.1565	0.2517	0.3692	0.5029	0.6442	0.7912	1.0794	1.467
B-Hard	0.0407	0.059	0.0786	0.1024	0.1261	0.1542	0.18	0.2169	0.2514	0.2907
B-Soft	0.038	0.054	0.0707	0.0879	0.1076	0.128	0.1516	0.1771	0.2105	0.2405
S-Hard	0.0475	0.0655	0.0813	0.0991	0.1208	0.1431	0.165	0.1893	0.2187	0.2532
S-Soft	0.0493	0.0665	0.0828	0.0989	0.1169	0.1347	0.1544	0.1733	0.196	0.2164
P-Hard	0.0404	0.0584	0.078	0.1014	0.1261	0.1563	0.1842	0.2183	0.2511	0.2903
P-Soft	0.0371	0.0526	0.0673	0.0824	0.1012	0.1169	0.1356	0.1571	0.1838	0.2063
