Methods	0.05	0.075	0.1	0.125	0.15	0.175	0.2	0.225	0.25	0.275
MTCSC_Uni	0.2927	0.3323	0.3813	0.4199	0.468	0.5125	0.5718	0.6116	0.6944	0.7334
SCREEN	1.3583	1.6263	1.8632	2.0735	2.2463	2.4084	2.541	2.6649	2.7923	2.8958
SpeedAcc	1.3884	1.6681	1.9163	2.1384	2.3182	2.49	2.6244	2.7505	2.888	3.0005
EWMA	2.2085	2.2264	2.2332	2.254	2.2688	2.2922	2.2994	2.3161	2.3194	2.361
LsGreedy	0.2588	0.3459	0.5445	0.7931	1.0643	1.3522	1.6284	1.8915	2.4494	3.1989
B-Hard	0.2858	0.3471	0.4054	0.4743	0.5339	0.6039	0.6567	0.7362	0.8174	0.8896
B-Soft	0.2675	0.3187	0.3705	0.4122	0.4649	0.5122	0.5672	0.6227	0.7085	0.7689
S-Hard	0.3202	0.3703	0.4044	0.4466	0.5001	0.5629	0.5956	0.6505	0.7141	0.796
S-Soft	0.3293	0.3739	0.4112	0.4464	0.4818	0.5171	0.5552	0.5927	0.6322	0.6605
P-Hard	0.2826	0.3421	0.4024	0.4706	0.5338	0.623	0.6795	0.7501	0.8163	0.8966
P-Soft	0.2615	0.3142	0.3515	0.3878	0.4554	0.4819	0.51	0.5588	0.6419	0.6628
