Methods	0.05	0.075	0.1	0.125	0.15	0.175	0.2	0.225	0.25	0.275
MTCSC_Uni	0.2129	0.2298	0.2269	0.2659	0.2654	0.2932	0.5731	0.7601	0.753	0.8945
SCREEN	0.2918	0.2983	0.2849	0.3011	0.2897	0.2992	0.5462	0.6809	0.6325	0.7301
SpeedAcc	2.249	2.2614	2.1673	2.3387	2.2798	2.2991	4.4326	5.5741	5.2814	5.6854
EWMA	0.0171	0.0174	0.0165	0.0179	0.0176	0.0197	0.0391	0.0475	0.0456	0.0504
LsGreedy	4.1671	4.7135	5.5326	7.3735	7.9086	8.0646	10.8266	9.1513	4.745	2.6746
B-Hard	0.1009	0.0908	0.0878	0.0907	0.0886	0.0956	0.1541	0.1953	0.1902	0.2095
B-Soft	0.1236	0.1134	0.1153	0.1147	0.1149	0.1306	0.2419	0.2696	0.267	0.2718
S-Hard	0.3548	0.3124	0.3114	0.3202	0.3284	0.3418	0.7725	0.8858	0.8627	0.9603
S-Soft	1.0319	0.6639	0.682	0.706	0.7053	0.7186	1.7461	2.0329	2.0293	2.1979
P-Hard	1.2671	1.2262	1.1808	1.246	1.2399	1.2528	2.5583	2.8868	2.8227	3.103
P-Soft	1.5777	1.6051	1.5387	1.6443	1.6068	1.6559	3.2807	3.8512	3.6278	4.1337
